id,b,c,v,t
40003002,40,3,2,"& cwæð. Doð deadbote. soðlice geneolaceð heofone riche."
40003003,40,3,3,"Þis is se be þam þe gecweþen is. þurh ysia þanne witega. Cleopiende stefne wæs on wæstene. gegearewiað drihtnes weig. doð hys syþas rihte."
40003004,40,3,4,"Se Iohannes witodlice hafde reaf of oluende hære. & fellenne gerdel embe hys lændene. & his mëte wæs gærstapen. & wude-hunig."
40003005,40,3,5,"Þa ferde to hym ierosolim-ware. & eal iudea-þeod. & eal þæt riche wið-geonde iordanen."
40003006,40,3,6,"& hyo wæron gefullode on iordanen fram hym. & hyo andetten hiora synnan."
40003007,40,3,7,"Soðlice þa he geseah manege þare sunder-halgena. & þare riht-wisendre to his fulluhte cumende. he cwæð to heom. La næddrena kyn hwa geswutolede eow to fleonne fram þan toweardan eorre."
40003008,40,3,8,"Eornostlice doð medemne wæstm þare deadbote."
40003009,40,3,9,"& ne cweðeð be-twuxe eow. we hæbbeð abraham us to fæder. Soðlice ich segge eow þt god is swa mychel & swa mihtig. þæt he maig of þisen stanen aweccen abrahames bearn."
40003010,40,3,10,"Eallunge is syo æx to þare treowe wertrume äsett. Eornestlice ælc treow þe godne wæstme ne bringð byð forcorfen. & on fere aworpen."
40003011,40,3,11,"Witodlice ich eow fullie on wætere to deadbote. Se þe æfter me toward ys. he is strengre þanne ich. þas gescy ne eom ich wurðe to berenne. He eow fulleð  on halgen gaste. & on fyre."
40003012,40,3,12,"Ðas fann ys on hande & he afermeð hys þyrscel-flore. & he gadereð  hys hwæte on his bearn. þa chefu he forberneð on unadwæscendlice fyre."
40003013,40,3,13,"Þa com se hælend fram galilea to Iordane to Iohanne, þæt he hine fullode"
40003014,40,3,14,"iohannes þa soðlice forbead hym. & cwæð. Ic scel fram þe beon gefullod. & cymst þu to me."
40003015,40,3,15,"Ða andswerede se halend hym. & cwæð. læt nu þus unc geþafenað ealle rihtwisnysse gefullen. Ða forlet he hine."
40003016,40,3,16,"Soðlice þa se hælend gefulled wæs. rædlice he astah of þam wætere. & hym wurðen þær-rihte heofenes untynde. & he geseah godes gast niþer-astigende swa swa culfran. & wunigende ofer hine."
40003017,40,3,17,"And soðlice þa com stefne of hefene. & þus cwæð. Her is min se gecorene sune on þam me gelicode."
40004001,40,4,1,"Þa wæs se hælend gelæd fram gaste on westen. þæt he wære fram deofle gecostned."
40004002,40,4,2,"& þa þa he feste feortig dæges & feortig nihta. þa ongan hym syððan hingrian."
40004003,40,4,3,"And þa geneahleahte se costnigend. & cwæð. Gyf þu godes sune syo. cwæð þæt þas stanes syen to hlafe gewordan."
40004004,40,4,4,"Ða andswerede se hælend. Hit ys awriten. ne leofað se man be hlafe anum. ac be ælce worden þe of godes muðe gæð."
40004005,40,4,5,"Þa gebrohte se deofel hine on þa halgan ceastre. & asette hine ofer þas temples heahnysse."
40004006,40,4,6,"& cwæð to him. Gyf þu godes sune ert. asend þe þanne niðer. Soðlice hit ys awritan þæt he his englen bebead be ðe. þæt hyo þe on heora hande bæren. þe læs þe þin fot æt stane æt-sperne."
40004007,40,4,7,"Þa cwæð se hælend eft to him. Hit is awriten. ne costne þu drihten þinne god."
40004008,40,4,8,"Eft se deofel hine nam. & ledde hine on swiðe heagene munt. & ateowede hym ealne midden-eardes riche. & hire wuldor."
40004009,40,4,9,"& cwæð to him. Ealle þas ic gyfe þe. gif þu feallende. to me ge-eadmedst."
40004010,40,4,10,"Ða cwæð se hælend to him. Gang þu succa on-bæc. Soðlice hit is awriten. to drihtne þine gode þu þe ge-eadmestð (sic). & him ane þeowast."
40004011,40,4,11,"Ða for-let se deofel hine. & ængles geneahlacten & him þegneden."
40004012,40,4,12,"Soðlice þa se hælend gehyrde þæt Iohannes belæwed wæs. þa ferde he to galilea"
40004013,40,4,13,"& forlætenre þare cheastre nazareht. he com & eardode on capharnaum on þam se-gemærum on ende zabulon & neptalim"
40004014,40,4,14,"þaet wære gefylled þæt þe gecwæðen wæs þurh isaiam þanne witegan."
40004016,40,4,16,"Ðeode folc þe on þeostrum sæt geseah mychel leoht. & sittende on eorðe deaðes scede ys leoht up a-sprungan."
40004017,40,4,17,"Seoððan ongan se hælend bodian & cweðen. doð dead-bote soðlice heofene rice geneahlæcheð."
40004018,40,4,18,"Ða se hælend eode wið þa galileissan sæ. he geseah twegen gebroðren symonem se wæs nemned petrus & andreas hys broðer. sendende heora nett on þa sæ. Soðlice hyo wæren fissceres."
40004019,40,4,19,"& he sægde heom. Cumeð æfter me. & ic do þæt gyt beoð manna fisceras."
40004020,40,4,20,"& hyo þær-rihte forlæten heora nyt & hym felgdon."
40004021,40,4,21,"& þa he þanen eode he seah twegen oðre gebroðrum iacobum zebedei & iohannem his broðrer (sic). on scype mid heora fæder zebedeo. reniende heora nett. & he cleopede hyo."
40004022,40,4,22,"Hyo þa sona forleten heore net. & heora fader. & him felgdon."
40004023,40,4,23,"And þa beferde se hælend eall galilëë. lærende on heora somnunge. & he wæs bodiende godspell. þas rices. & hælende ælche adle. & ælce untrumnysse on þam folce."
40004024,40,4,24,"& þa ferde his hlise into alle syriam. & hyo brohton to hym ealle yfel-hæbbende mistlichen adlen. & on tintregon gegripene. & þa þe deofel-seocnysse hæfdon. & moneðseoke. & lamen. & he þa gehælde."
40004025,40,4,25,"& hym felgdon mycele menige fram galilea. & fram decapoli. & fram ierusalem. & fram iudea. & fram begeonden iordanen."
40005001,40,5,1,"Soðlice þa se hælend geseah þa manige. he astah on þanne munt. & þa he sæt þa geneahlahten his leorning-cnihtes to hym."
40005002,40,5,2,"& he untynde hys muð. & lærde hyo. & cwæð."
40005003,40,5,3,"Eadige synde þa gastlice þearfan. forþan hyora is heofena riche."
40005004,40,5,4,"Eadige syndde þa lyðan. forðan þe hyo eorðan agunnen."
40005005,40,5,5, "for-þan þe hyo beoð gefrefrede."
40005006,40,5,6,"Eadiga synd þa þe rihtwysnissa hingreð  & þirsteð. for-þan þe hyo beoð gefellede."
40005007,40,5,7,"Eadige synd þa mild-heortan. for-þan þe hyo mildheortnyssa begytað."
40005008,40,5,8,"Eadige synd þa clæn-heortan. for-þan þe hyo god geseoð."
40005009,40,5,9,"Eadige synd þa sibsume. for-þan þe hyo beoð godes bearn genemnde."
40005010,40,5,10,"Eadige synd þa þe hehtnysse þoliað. for rihtwisnysse. for-þam þe heora is heofena riche."
40005011,40,5,11,"Eadige synde ge. þanne hyo weregieð  eow. & ehtað eow. & seggeð yfell ongean eow leogende for me."
40005012,40,5,12,"Geblissiað  & gefageniað. for-þan þe eower mede is mychel on heofenum. Swa hyo ehtan ða witegan þe beforen eow wæren."
40005013,40,5,13,"Geo sendden eorðan salt. gyf þæt salt awyrð on þam þe hyt  ne mæg syððen to nahte. buton þæt hyt sye ut-aworpen. & syo fram mannen fortredon."
40005014,40,5,14,"Ge synd midden-eardes leoht. ne maig syo ceastre beon behyd. þe beoð up on munt äset."
40005015,40,5,15,"Ne hyo ne aleð heora leoht-fæt. & hit under cype setteð. ac ofer candel-stæf þæt hit onlihte eallen. þan þe on þam huse synde."
40005016,40,5,16,"Swa onleohteð eower leoht beforan mannen. þæt hy ge-sye eower gode werc. & wuldrian eowre fæder þe on heofene ys."
40005017,40,5,17,"Nelle ge wenen þæt ich come towerpan þa læge. oððe þa witegan. ne com ich na towerpan. ac to gefyllan."
40005018,40,5,18,"Soðes on eornest ich segge eow. ær þan þe gewitan heofone & eorðe an .i. oððe an prike. ne gewit fram þare lage. ær þan ealle þing gewurðan."
40005019,40,5,19,"Eornestlice se þe towirpð an of þisen læsten beboden. & þa men swa lærð. se beoð læst genemned on heofene riche. Soðlice se þe hit deð & lærð. se beoð mychel genemned on heofene rice."
40005020,40,5,20,"Soðlice ic segge eow buton eowre rihtwisnesse mara syo. þanne þare writere & sinder-halgane. ne ga ge on heofena riche."
40005021,40,5,21,"Ge gehyrden hwæt gecweðen wæs on ealden tyden. Ne ofsleah þu. se þe ofsleahð. se beoð domes scyldig."
40005022,40,5,22,"Ic segge eow soðlice. þt ælch þe yrseð his breðer byeð domes scyldig. Soðlice se ðe saigð his breðer þu aworðene. he beoð geþeahte scyldig. Se þe saigð þu stunta. he byoð sceldig helle feres."
40005023,40,5,23,"Eornestlice gyf þu brincst þine lac to weofede. & þu þær geþencst. þæt þin broðer hæfð ani þing agen þe."
40005024,40,5,24,"læt þær þine läc beforan þam weofede. & gang ær & sibbesuma wið þinne broðer. & þanne cum þu siððen & bring þine läc."
40005025,40,5,25,"Beo þu onbugende þine wiðer-winnen hwora (sic) þa hwile þe þu eart. on weiga mid him. þi læs þe þi wiðer-winne þe selle þam deman. & se deme þe sylle þam þeine. & þu syo on cwarterne gesend."
40005026,40,5,26,"Soðes ic segge þe ne gæst þu þanen ær þu agylde þanne ytemeste ferþyng."
40005027,40,5,27,"Ge gehyrden þæt on ealden cwiden gecweþen wæs. Ne unriht-heme þu"
40005028,40,5,28,"soðlice ic segge eow. þæt ælc þare þe wif geseohð ænd hire gewilneð. eallunge þæt se gesinegað on his heorte."
40005029,40,5,29,"Gyf þin swiðre eage þe aswikie. aholeke hit ut. & äwerp hit fram þe. Soðlice þe is betere þæt an þinre lime forwurðe. þonne eall þin lichame. syo on helle gesent."
40005030,40,5,30,"And gyf þin swiðre hand þe aswike. äcerf hyo of. & awerp hyo fram þe. Witodlice þe is betere þæt an þinre lima forwurðe. þanne all þin lichama fare to helle."
40005031,40,5,31,"Soðlice hit is gecweðen. swa-hlich swa his wif forlæt. sylle he hire. hyra hiwgeðales boc."
40005032,40,5,32,"Ic segge eow to soðe. þæt ælc þe hys wif forlæt buton forleirnisse þingen. he deð þt hy unriht-hemeð. & se unriht-hameð þe for-lætene efter hym genimeð."
40005033,40,5,33,"Eft  gehyrden þæt gecwæðen wæs on ealden cwiden. Ne forswere þu. Soðlice drihten þu agelst þine aþas."
40005034,40,5,34,"Ich segge eow soðlice. þæt ge eallunge ne swerigan. Ne þurh heofene. for-þam þe hye ys godes þrim-setel."
40005035,40,5,35,"Ne þurh eorþan. for-þam þe hyo ys hys fot-scamel. Ne þurh ierusalem. for-þan þe hyo ys mæres kyninges chestre."
40005036,40,5,36,"Ne þu ne swere þurh þin heafod. for-þan þe þu ne miht don ænne loc hwitne  oðerne blacne."
40005037,40,5,37,"Soðlice sye eowre spræce. hyt is. hit is. hyt nis. hyt nys. Soðlice gyf þær mare beoð. þæt beoð of yfele."
40005038,40,5,38,"Ge gehyrden þæt gecweðen wæs. Eage for eage. & toð for toð."
40005039,40,5,39,"Soðlice ic segge eow. ne winne ge on-gean þa þe eow yfel doð. Ac gyf hwa þe smite on þin swiðre wænge. gegerewe hym þæt oþer."
40005040,40,5,40,"& þan þe wile on dome wið þe flitan & nime þine tunican. læt him to þinne wæfeles."
40005041,40,5,41,"& swa hwa swa þe net þusend stapa  . ga mid him oðre twa þusend."
40005042,40,5,42,"Syle þam þe þe bidde. & þan þe æt þe wile borgian ne wern þu hym."
40005043,40,5,43,"Ne gehered ge þt gecweðen wæs. lufe þine nextan. & hate þine feond."
40005044,40,5,44,"Soðlice ic segge eow. lufieð owre feond. & doð wel þan þe eow yfel doð. & gebiddað for eowre ehteras. & tælende eow."
40005045,40,5,45,"þæt ge seon eowres fader bærn. þe on heofene ys. se þe deð þæt his sunne äspringð ofer þa godan & ofer þa yfelen. & he læt rinan ofer þa rihtwisan. & ofer þa unrihtwisan."
40005046,40,5,46,"Gyf ge soðlice þa lufiað þe eow lufiað. hwilche mede hæbbe ge. hwu ne doð manfulla swa."
40005047,40,5,47,"& gyf ge þæt an doð þæt ge eowre gebroðre welcumieð. hwæt do ge mare. hu ne doð hæþene swa."
40005048,40,5,48,"Eornestlice beoð fulfremede. swa eowre heofenlice fæder is fulfremed."
40006001,40,6,1,"Gegymeð þæt ge ne don eowre riht-wisnysse before mannum. þæt ge syen geherede fram heom. Elles næbbe ge mede mid eowre fædere þe on heofene ys."
40006002,40,6,2,"Eornestlice þanne þu þine ælmessen sylle. ne blawe man  beman beforan þe. swa liceteras doð on gesomnungen & on wicen þæt hyo sye ge-arwurðode fram mannen. Soð ich segge eow. hyo on-fengen heora mede."
40006003,40,6,3,"Soðlice þonne þu þine ælmesse do. nete þin wynstre hwæt do þin swiðre."
40006004,40,6,4,"þæt þin ælmesse syo on diglen. & þin fæder hyt ägëlt þe. se þe sihð on dyglen."
40006005,40,6,5,"And þanne ge eow gebyddon ne by ge swilce liceteras. þa lufiað þæt hy gebiddan hyo standende on samnunge. & strate hyrnan. þæt men hyo geseon. Soð ich segge eow. hyo onfengen heore mede."
40006006,40,6,6,"Þu soðlice þonne þu þe bidde. gang in-to þinen hel-clyfen. & þinre dure belocenre. bide þinne fader on diglen. & þin fæder þe sihð on dyglen hyt agylt þe."
40006007,40,6,7,"Soðlice þanne ge eow gebiddan. nelle ge spreken fela swa swa hæðene. Hyo wenað þæt hyo syen geherda on heora manifealde spræce."
40006008,40,6,8,"Nelle ge ornestlyce heom ge-efenlæchen. Soðlice eower fæder wat hwæt eow þarf ys. ær þan þe ge hine byddað."
40006009,40,6,9,"Eornestlice gebiddað eow þus. Fader ure þu þe ert on heofene. sye þin name gehalged."
40006010,40,6,10,"to-becume þin rice. Gewurðe þin gewille. on eorðan swa swa on heofenan."
40006011,40,6,11,"ure dayghwamlice hlaf syle us to dayg."
40006012,40,6,12,"& forgyf us ure geltas swa swa we forgyfeð ure geltenden."
40006013,40,6,13,"& ne læd þu us on costnunge. ac ales us of yfele soðlice."
40006014,40,6,14,"Witodlice gyf ge forgyfeð mannan heora synnan. þonne forgyfeð eowre se heofenlice fæder eow eowre geltes."
40006015,40,6,15,"Gyf ge soðlice ne for-gyfeð mannen. ne owre fæder ne for-gyfeð eow owre synna."
40006016,40,6,16,"Soðlice þanne ge fæsten. nellen ge wesan swilce lease licceres. hyo fornymeð hyre ansiene. þæt hyo æteowun mannen fæstende. Soðlice ic segge eow þæt hyo onfengen heore mede."
40006017,40,6,17,"Þu soðlice þanne þu fæste smere þin heafeð. & þweah þine ansiene."
40006018,40,6,18,"þæt þu ne sy gesewen fram mannen fæstende. ac þinen fæder þe is on dyglen. & þin fæder þe sihð on dyglen. hyt agelt þe."
40006019,40,6,19,"Nellen ge goldhordian eow on eorðan goldhordas. þær öm & mohþe hit fornymð. & þær þeofes hit delfeð & for-steleð."
40006020,40,6,20,"Gold-hordiað eow soðlice gold-hordes on heofenan. þær naþer öm ne mohðe hyt ne fornymð. & þær þeofes hit ne delfað ne ne forsteleð."
40006021,40,6,21,"Witoðlice þær þin gold-hord ys. þær is þin heorte."
40006022,40,6,22,"Þines lichamen leoht-fæt is þin eage. gyf þin eage beoð an-feald. eall þin lic-hame beoð breost (sic)."
40006023,40,6,23,"Gyf þin eage soðlice beoð manful. eall þin lichame beoð þeosterful. Eornestlice gyf þæt leoht þe on þe ys synd þeostre. hu mycele beoð þa þeostre."
40006024,40,6,24,"Ne mayg nam man twam hlaferden þeowian. oððe he soðliche ænne hateð. & oþerne lufað. oððe he beoð anen gehersum. & oðren ungehersum. Ne magen ge gode þeowian & weorld-weolan."
40006025,40,6,25,"For-þan ich segge eow ðæt ge ne syon emb-hydige eowre sawle hwæt ge eton. ne eower lic-haman mid hwam ge syon emb-scridde. Hu nys syo sawul selre þanne mete. & eower lic-hame betere þanne þæt reaf."
40006026,40,6,26,"Behealded heofenen fugelas. for-þan þe hyo ne saweð. ne hyo ne ripað. ne hyo ne gaderiað on berne. & eowre heofenlice fæder hyo fët. Hu ne synde ge selre þanne hyo."
40006027,40,6,27,"hwilc eower maig soðlice þencen þæt he ge-eacnige enne elne to his anlichnysse."
40006028,40,6,28,"& to hwi synde ge ymbhydige be reafe. Bescewiað ækeres lilian hu hye wexað. ne swincað hyo. ne hyo ne spinneð."
40006029,40,6,29,"Ic segge eow soðlice. þæt for-þan salomon on eallen hys wuldre næs ofer-wrigen swa swa an of þisen."
40006030,40,6,30,"Soðlice gyf akeres weod þæt þe to daig ys. & beoð to morgen on ofen asend. god swa scrit. eale ge ge-hwædes ge-leafen. þam mycele ma he scryt eow."
40006031,40,6,31,"Nelle ge eornestlice beon embhydige. þus cweðende. hwæt ete we. oððe hwæt drinke we. oððe mid hwan beo we ofer-wrogene."
40006032,40,6,32,"Soðlice ealle þas þing þeode secheð. Witodlice eower fader wat þæt ge eallen þisen þinge be-þurfen."
40006033,40,6,33,"Eornestlice secheð ærest godes riche. & hys rihtwysnesse. & ealle þas þing eow beoð þær-to ge-eacnode."
40006034,40,6,34,"Ne beo ge na hugiende emb þa morgendliche neode. Soðlice se morgenliche dayg chareð embe hine selfne. Aighwilc daig hafð genoh on his eagen embhugan."
40007001,40,7,1,"Nellen ge demen. þæt ge ne syen fordemde."
40007002,40,7,2,"Witodlice þam ilcan dome. þe ge demeð. eow beoð ge-demed. & on þam ylcan gemette þe ge meteð. eow beð ge-meten."
40007003,40,7,3,"To hwi gesihst þu þæt mot on þines broðer eagen. & þu ne ge-sihst þanne beam on þinen agenen eagen."
40007004,40,7,4,"Oððe hu-mæte cwæðst þu to þine breðer. broðer þafe þæt ic ut do þæt mot of þinen eagen. þonne se beam beoð on þinen agenen eagen."
40007005,40,7,5,"Læt þu liketere. ä-do ærest ut þanne beam of þinen agenen eagen. & be-hawe þanne þæt þu ut do þæt mot of þines broðer eagen."
40007006,40,7,6,"Nellen ge syl þæt hilige (sic) hunden. ne ge-wurpen eowre mere-groten to-foren eowren swinen. þy læs hye mid hyra fotan hyo tofortredan. & hyo þanne ne on-gean ne wend eow to-slyten."
40007007,40,7,7,"Byddeð. & eow beoð ge-seald. secheð. & ge hit findeð. cnokieð. & eow beoð untynd."
40007008,40,7,8,"Witodliche ælch þare þe bit he on-fehð. & se þe sechð. he hyt fint, & þan cnokienden beoð un-tyned."
40007009,40,7,9,"Hwilc man is of eow gyf his sune hym bit hlafes. selst þu him stan."
40007010,40,7,10,"Oððe gyf he him bit fissces. sylst þu him næddren."
40007011,40,7,11,"Eornestlice nu ge þe yfele synt cunnan god eowre bearnen syllen. mycele ma eowre fæder þe on heofene ys sylleð god þan þe hine biddað."
40007012,40,7,12,"Eornestlice ealle þa þing þe ge willen þæt men eow don. doð ge heom þæt sylfe. þæt ys soðlice lage. & witegena be-bod."
40007013,40,7,13,"Ganged enn (sic) þurh þæt narewe geat. for-þan þæt geat ys swiðe wid. & se weig is swiðe rum þe to for-spillendnysse gelæt. & swiðe manige synde þe þurh þane weig fareð."
40007014,40,7,14,"Eala hu nara & hu angsum ys þæt geat. & se weig. þe to lyfe ge-læt. & swiðe feawe synde þe þanne weig findeð."
40007015,40,7,15,"Warnieð eow wið leasan witegen þe cumeð to eow on sceapene kertlen. ac hyo beoð innenan reafiende wulfas."
40007016,40,7,16,"Fram heora wæstman ge hyo under-gyteð. Cweðst þu. gadered man win-berian of þornen. oððe fïc-epple of þyrn-cinum."
40007017,40,7,17,"Swa ælch god treow byrð gode wæstmes. & ælch efel treow byrað yfele wæstmes."
40007018,40,7,18,"Ne  þæt gode treo beren yfele wæstmes. ne þæt yfele treo gode wæstmas."
40007019,40,7,19,"Ælch treow þe ne bered godne wæstme. syo hit for-corfen. & on fer aworpen."
40007020,40,7,20,"Witodlice be heora wæstman ge hyo on-cnawað."
40007021,40,7,21,"Ne gæð ælch þara on heofene riche þe cwyð to me drihten drihten. ac se þe wyrcð mines fæder willen þe on heofene ys. se gæð on heofene riche."
40007022,40,7,22,"Manege cweðeð on þam daige to me drihten drihten. hu ne witegeden we on þinen namen. & on þinan namen we ut-awurpen deofel of mannen. & on þinen name we worhte mychele wundre & mihte."
40007023,40,7,23,"Þanne cweðe ich to heom. þæt ich eow næfre ne cuðe. Ge-wïtoð fram me. ge þe worhten un-rihtwisnysse."
40007024,40,7,24,"Eornestlice ælch þare þe þas mine word ge-hereð & þa werceð beoð gelic þam wisen were se his hus ofer stan ge-tymbrede."
40007025,40,7,25,"þa com þær ren & michel flod. & þær bleowan windas & ahruron on þæt hus. & hit naht ne feoll. Soðlice hit wæs ofer stan ge-tymbred."
40007026,40,7,26,"& ælch þare þe ge-hyrð þas mine word & þa ne werceð. se beoð ge-lich þan desien men. þe getymbrede hys hus ofer sand-chisel."
40007027,40,7,27,"Þa rinde hyt. & þær com flod. & bleowen windes. & aruren on þt hus. & þt hus feol. & his ryre wæs mychel."
40007028,40,7,28,"Ða wæs ge-worðen þa se hælend þas word lærde & ge-endode. þa wundrede þæt folc. hys lare."
40007029,40,7,29,"Soðlice he lærde swilce he anweald hæfde. & na swa swa heore bokeras & sunder-halgan."
40008001,40,8,1,"Soðlice þa se hælend of þam munte niðer-astah. þa felgden hym michele menige."
40008002,40,8,2,"Ða ge-neohlahte an hreofola to hym. & hine to hym ge-eadmede & þus cwæð. Drihten gif þu wilt þu miht me ge-clænsien."
40008003,40,8,3,"Ða astrehte se hælend his hand. & repede hine. & þus cwæð. Ic wille. beo ge-clænsed. & hys hreofla wæs rædlice ge-claensed."
